path	mtime_epoch	size_bytes	classification	destination
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-49869d1d-b431-40de-8278-a733093ef6eb.json	1780758094	1406	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-49869d1d-b431-40de-8278-a733093ef6eb.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-d6858421-73a8-4e14-acaf-333bffcd8c88.json	1780758124	1757	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-d6858421-73a8-4e14-acaf-333bffcd8c88.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comment-verify-kiralover-state-report-fidelity.json	1780758177	284	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comment-verify-kiralover-state-report-fidelity.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-8c83fc86-84c8-4825-a46b-24e0dd923633.json	1780758125	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-8c83fc86-84c8-4825-a46b-24e0dd923633.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-acc26666-076c-4eb7-b8a4-b7d68e4d0c33.json	1780758093	1972	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-acc26666-076c-4eb7-b8a4-b7d68e4d0c33.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-deda882a-dfdc-464f-93ba-75ba643e3b22.json	1780758123	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-deda882a-dfdc-464f-93ba-75ba643e3b22.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/home.json	1780758091	3315	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__home.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-388f9e99-77cc-4d42-88be-b98d98b26b20.json	1780758096	2819	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-388f9e99-77cc-4d42-88be-b98d98b26b20.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-2b3fc385-f041-4542-965a-336e9303f979.json	1780758126	2312	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-2b3fc385-f041-4542-965a-336e9303f979.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-3bc3be34-after-reply.json	1780758177	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-3bc3be34-after-reply.json
