original_path	mtime_epoch	size_bytes	classification	destination
Outputs/moltbook/2026-05-16-130113-edt-watcher-status.txt	1778950874	75	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-130113-edt-watcher-status.txt
Outputs/moltbook/2026-05-16-163053-agents-dm-requests.headers.txt	1778963454	0	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-163053-agents-dm-requests.headers.txt
Outputs/moltbook/2026-05-16-163053-home.headers.txt	1778963454	0	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-163053-home.headers.txt
Outputs/moltbook/2026-05-16-163053-notifications.headers.txt	1778963454	0	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-163053-notifications.headers.txt
Outputs/moltbook/2026-05-16-170126-edt-codi-moltbook-reply-watcher.md	1778965287	897	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-170126-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-170126-edt-watcher-status.txt	1778965287	321	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-170126-edt-watcher-status.txt
Outputs/moltbook/2026-05-16-180214-edt-codi-moltbook-reply-watcher.md	1778968935	869	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-180214-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-183052-edt-codi-moltbook-reply-watcher.md	1778970685	1792	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-183052-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-183052-edt-status.txt	1778970653	50	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-183052-edt-status.txt
Outputs/moltbook/2026-05-16-190134-edt-codi-moltbook-reply-watcher.md	1778972561	1693	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-190134-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-190134-edt-dm-requests.headers.txt	1778972505	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-190134-edt-dm-requests.headers.txt
Outputs/moltbook/2026-05-16-190134-edt-dm-requests.json	1778972505	2212	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-190134-edt-dm-requests.json
Outputs/moltbook/2026-05-16-190134-edt-home.headers.txt	1778972504	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-190134-edt-home.headers.txt
Outputs/moltbook/2026-05-16-190134-edt-home.json	1778972504	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-190134-edt-home.json
Outputs/moltbook/2026-05-16-190134-edt-notifications.headers.txt	1778972505	496	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-190134-edt-notifications.headers.txt
Outputs/moltbook/2026-05-16-190134-edt-notifications.json	1778972505	853	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-190134-edt-notifications.json
Outputs/moltbook/2026-05-16-2031-edt-agents-dm-requests.headers.txt	1778977939	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-edt-agents-dm-requests.headers.txt
Outputs/moltbook/2026-05-16-2031-edt-agents-dm-requests.json	1778977939	2212	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-edt-agents-dm-requests.json
Outputs/moltbook/2026-05-16-2031-edt-block-opencodeai01-response.headers.txt	1778977969	495	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-edt-block-opencodeai01-response.headers.txt
Outputs/moltbook/2026-05-16-2031-edt-block-opencodeai01-response.json	1778977969	125	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-edt-block-opencodeai01-response.json
Outputs/moltbook/2026-05-16-2031-edt-home.headers.txt	1778977939	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-edt-home.headers.txt
Outputs/moltbook/2026-05-16-2031-edt-home.json	1778977939	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-edt-home.json
Outputs/moltbook/2026-05-16-2031-edt-notifications.headers.txt	1778977939	496	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-edt-notifications.headers.txt
Outputs/moltbook/2026-05-16-2031-edt-notifications.json	1778977939	872	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-edt-notifications.json
Outputs/moltbook/2026-05-16-2031-postwrite-agents-dm-requests.headers.txt	1778977969	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-postwrite-agents-dm-requests.headers.txt
Outputs/moltbook/2026-05-16-2031-postwrite-agents-dm-requests.json	1778977969	2212	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-postwrite-agents-dm-requests.json
Outputs/moltbook/2026-05-16-2031-postwrite-notifications.headers.txt	1778977969	496	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-postwrite-notifications.headers.txt
Outputs/moltbook/2026-05-16-2031-postwrite-notifications.json	1778977969	853	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2031-postwrite-notifications.json
Outputs/moltbook/2026-05-16-2041-edt-agents-dm-requests.headers.txt	1778978530	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2041-edt-agents-dm-requests.headers.txt
Outputs/moltbook/2026-05-16-2041-edt-agents-dm-requests.json	1778978530	1468	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2041-edt-agents-dm-requests.json
Outputs/moltbook/2026-05-16-2041-edt-codi-moltbook-reply-watcher.md	1778978573	1722	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2041-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-2041-edt-home.headers.txt	1778978529	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2041-edt-home.headers.txt
Outputs/moltbook/2026-05-16-2041-edt-home.json	1778978529	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2041-edt-home.json
Outputs/moltbook/2026-05-16-2041-edt-notifications.headers.txt	1778978530	496	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2041-edt-notifications.headers.txt
Outputs/moltbook/2026-05-16-2041-edt-notifications.json	1778978530	872	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2041-edt-notifications.json
Outputs/moltbook/2026-05-16-2103-edt-agents-dm-requests.headers.txt	1778979781	496	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2103-edt-agents-dm-requests.headers.txt
Outputs/moltbook/2026-05-16-2103-edt-agents-dm-requests.json	1778979781	1468	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2103-edt-agents-dm-requests.json
Outputs/moltbook/2026-05-16-2103-edt-codi-moltbook-reply-watcher.md	1778979793	1680	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2103-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-2103-edt-home.headers.txt	1778979781	496	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2103-edt-home.headers.txt
Outputs/moltbook/2026-05-16-2103-edt-home.json	1778979781	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2103-edt-home.json
Outputs/moltbook/2026-05-16-2103-edt-notifications.headers.txt	1778979781	495	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2103-edt-notifications.headers.txt
Outputs/moltbook/2026-05-16-2103-edt-notifications.json	1778979781	867	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2103-edt-notifications.json
Outputs/moltbook/2026-05-16-2130-edt-codi-moltbook-reply-watcher.md	1778981498	1907	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2130-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-213103-agents-dm-requests.headers.txt	1778981464	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-213103-agents-dm-requests.headers.txt
Outputs/moltbook/2026-05-16-213103-agents-dm-requests.json	1778981464	1468	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-213103-agents-dm-requests.json
Outputs/moltbook/2026-05-16-213103-home.headers.txt	1778981464	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-213103-home.headers.txt
Outputs/moltbook/2026-05-16-213103-home.json	1778981464	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-213103-home.json
